"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Psychrobacter sp. P2G3",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,48,0,38,0,4,2,0,0,1,1,4,0,1
"Psychrobacter sp. Sarcosine-02u-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Psychrobacter sp. SC65A.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. van23A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Psychrobacter sp. WB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Psychrobacter sp. WY6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. YP14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"Psychrobacter urativorans",97,125,86,79,12,150,0,17,50,2,26,38,53,7,6,8,185,200,54,52,66,292,25,41,138,79,67,74,58,133,0,328
"Psychroflexus sp. ALD_RP9",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Psychromicrobium lacuslunae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Psychromonas ingrahamii",0,0,4,60,1,1,0,2,0,1,0,1,0,4,3,2,0,0,0,134,0,17,32,39,0,0,0,0,0,149,0,53
"Psychromonas sp. CNPT3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,0,6
"Psychroserpens sp. NJDZ02",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrosphaera aestuarii",0,2,1,3,0,24,0,0,1,0,1,0,0,0,0,2,0,0,8,0,0,23,1,47,0,0,0,1,0,0,0,0
"Pukyongiella litopenaei",0,0,0,23,3,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,6
"Pulveribacter suum",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,1,0,0,0,19,0,19,0,0,1,0,0,0,0,2
"Puppervirus Pupper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pusillibacter faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Pusillimonas sp. DMV24BSW_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pusillimonas sp. T7-7",0,0,17,0,2,0,2,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Pylasvirus pylas",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pyramidobacter piscolens",0,11,0,0,0,44,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,11,1,0,0,0
"Pyrobaculum aerophilum",331,26,1158,243,25,17,5,96,45,59,229,3,3,125,153,17,4,5,17,235,1,26,1037,302,5,0,2,5,1,13,2,0
"Pyrobaculum arsenaticum",3,81,23,46,3,91,3,9,21,6,12,1,0,1,1,3,27,7,20,37,1,109,10,52,4,11,10,3,0,17,0,30
"Pyrococcus kukulkanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,1,17,0,13,0,0,0,5,0,0,0,0
"Pyruvatibacter mobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyxidicoccus parkwaysis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qiania dongpingensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qingshengfaniella alkalisoli",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Qipengyuania aquimaris",6,18,6,36,0,0,0,7,4,5,4,1,2,1,0,6,16,1,5,31,1,86,5,30,1,11,0,7,0,11,0,16
"Qipengyuania aurantiaca",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
