"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Pseudomonas laurentiana"	"S"	2364649	29	NA	NA	NA	NA	2	NA	NA	29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas khavaziana"	"S"	2842351	5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Vibrio furnissii"	"S"	29494	33	NA	NA	NA	NA	10	4	NA	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	11	8	33	NA	NA	NA	NA	NA	NA	2	1	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio metschnikovii"	"S"	28172	50	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	50	NA	10	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Halomonas sp. KG2"	"S"	2951138	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Halomonas>unclassified&nbsp;Halomonas"
"Reinekea forsetii"	"S"	1336806	2	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Saccharospirillaceae>Reinekea"
"Aeromonas rivipollensis"	"S"	948519	12	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Aeromonas"
"Shewanella sp. WE21"	"S"	2029986	15	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella>unclassified&nbsp;Shewanella"
"Shewanella mangrovisoli"	"S"	2864211	658	NA	NA	NA	NA	5	24	NA	NA	NA	NA	NA	NA	11	2	2	1	NA	NA	7	658	NA	NA	NA	39	12	NA	1	34	NA	4	21	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"uncultured Shewanella sp."	"S"	173975	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella>environmental&nbsp;samples"
"Alteromonas pelagimontana"	"S"	1858656	11	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group>Alteromonas"
"Alkalimarinus alittae"	"S"	2961619	3	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alkalimarinus"
"Thiomicrorhabdus sp."	"S"	2039724	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Thiomicrorhabdus>unclassified&nbsp;Thiomicrorhabdus"
"Thiothrix lacustris"	"S"	525917	47	NA	NA	NA	NA	7	9	NA	47	NA	NA	NA	NA	NA	3	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	1	NA	4	22	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Thiotrichaceae>Thiothrix"
"Thiothrix winogradskyi"	"S"	96472	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Thiotrichaceae>Thiothrix"
"Simiduia agarivorans"	"S"	447471	6	NA	NA	NA	NA	6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae>Simiduia"
"Congregibacter litoralis"	"S"	393662	6	NA	NA	NA	NA	2	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Cellvibrionales>Halieaceae>Congregibacter"
"Candidatus Coxiella mudrowiae"	"S"	2054173	4	NA	NA	NA	NA	1	2	NA	1	NA	1	NA	NA	NA	NA	4	3	NA	NA	NA	1	1	NA	NA	NA	NA	NA	3	2	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Legionellales>Coxiellaceae>Coxiella"
"Methylomonas sp. LW13"	"S"	107637	6	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylomonas>unclassified&nbsp;Methylomonas"
"Methylomonas koyamae"	"S"	702114	3	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylomonas"
"Methylomarinovum tepidoasis"	"S"	2840183	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Methylococcales>Methylothermaceae>Methylomarinovum"
"Salinisphaera sp. LB1"	"S"	2183911	21	NA	NA	NA	NA	21	NA	NA	NA	NA	1	1	NA	NA	3	NA	11	NA	NA	NA	2	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Salinisphaerales>Salinisphaeraceae>Salinisphaera>unclassified&nbsp;Salinisphaera"
"Candidatus Comchoanobacter bicostacola"	"S"	2919598	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Candidatus&nbsp;Comchoanobacterales>Candidatus&nbsp;Comchoanobacteraceae>Candidatus&nbsp;Comchoanobacter"
"Rhizobium sp. 11515TR"	"S"	2028343	6	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. CB3090"	"S"	3039156	4	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium rhizogenes"	"S"	359	90	NA	NA	NA	NA	5	11	NA	NA	1	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	20	NA	7	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Allorhizobium pseudoryzae"	"S"	379684	210	NA	NA	NA	NA	1	31	NA	NA	NA	3	10	NA	NA	4	NA	1	1	NA	25	14	10	210	1	NA	6	NA	NA	NA	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Allorhizobium"
"Hoeflea phototrophica"	"S"	244596	8	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Hoeflea"
"Bradyrhizobium sp. B024"	"S"	3140247	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 53340"	"S"	1325112	28	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium lablabi"	"S"	722472	9	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium yuanmingense"	"S"	108015	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Brucella pseudogrignonensis"	"S"	419475	20	NA	NA	NA	NA	7	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	20	12	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella"
"Jiella pelagia"	"S"	2986949	5	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Jiella"
"Devosia oryziradicis"	"S"	2801335	8	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Devosia"
"Rhodomicrobium lacus"	"S"	2498452	8	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Hyphomicrobiaceae>Rhodomicrobium"
"Bosea beijingensis"	"S"	3068632	52	NA	NA	NA	NA	6	NA	NA	NA	NA	3	NA	NA	NA	4	NA	NA	NA	NA	NA	19	7	32	NA	52	NA	NA	NA	NA	2	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Boseaceae>Bosea"
"Ancylobacter sp. SL191"	"S"	2995166	109	NA	NA	NA	NA	10	10	NA	NA	NA	NA	4	NA	1	3	NA	NA	6	NA	5	2	8	109	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Xanthobacteraceae>Ancylobacter>unclassified&nbsp;Ancylobacter"
"Stappia sp. ES.058"	"S"	1881061	13	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Stappiaceae>Stappia>unclassified&nbsp;Stappia"
"Bartonella sp. TP"	"S"	3057550	45	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Bartonellaceae>Bartonella>unclassified&nbsp;Bartonella"
"Sulfitobacter sp. S223"	"S"	2867023	37	NA	NA	NA	NA	16	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. S190"	"S"	2867022	13	NA	NA	NA	NA	13	5	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	2	6	1	4	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. M368"	"S"	2867021	9	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Leisingera methylohalidivorans"	"S"	133924	9	NA	NA	NA	NA	7	NA	NA	NA	2	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Leisingera"
"Jannaschia sp. CCS1"	"S"	290400	14	NA	NA	NA	NA	8	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA	NA	NA	NA	NA	7	10	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Jannaschia>unclassified&nbsp;Jannaschia"
"Jannaschia sp. W003"	"S"	2867012	32	NA	NA	NA	NA	1	NA	1	30	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	4	32	NA	1	31	NA	NA	NA	NA	1	3	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Jannaschia>unclassified&nbsp;Jannaschia"
"Octadecabacter antarcticus"	"S"	1217908	26	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Octadecabacter"
"Paracoccus sp. (in: a-proteobacteria)"	"S"	267	7	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus>unclassified&nbsp;Paracoccus&nbsp;(in:&nbsp;a&#x2011;proteobacteria)"
"Paracoccus contaminans"	"S"	1945662	65	NA	NA	NA	NA	45	57	NA	65	2	NA	2	1	2	1	4	3	NA	NA	18	24	28	46	NA	31	16	6	NA	7	NA	9	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus haeundaensis"	"S"	225362	12	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus saliphilus"	"S"	405559	29	NA	NA	NA	NA	7	NA	1	21	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	7	2	NA	NA	29	NA	15	NA	NA	NA	2	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Falsirhodobacter algicola"	"S"	2692330	19	NA	NA	NA	NA	9	19	NA	NA	NA	2	17	1	NA	NA	NA	NA	NA	NA	16	8	NA	NA	NA	NA	8	NA	NA	NA	NA	1	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Falsirhodobacter"
"Qingshengfaniella alkalisoli"	"S"	2599296	7	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5	NA	2	NA	1	NA	NA	NA	NA	3	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Qingshengfaniella"
"Novosphingobium humi"	"S"	2282397	18	NA	NA	NA	NA	5	18	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	7	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	2	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Erythrobacter sp. BLCC-B19"	"S"	3025315	20	NA	NA	NA	NA	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	2	NA	NA	20	8	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter/Porphyrobacter&nbsp;group>Erythrobacter>unclassified&nbsp;Erythrobacter"
"Erythrobacter litoralis"	"S"	39960	9	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter/Porphyrobacter&nbsp;group>Erythrobacter"
"Porphyrobacter sp. LM 6"	"S"	1896196	32	NA	NA	NA	NA	5	32	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter/Porphyrobacter&nbsp;group>Porphyrobacter>unclassified&nbsp;Porphyrobacter"
"Qipengyuania flava"	"S"	192812	6	NA	NA	NA	NA	6	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Qipengyuania"
"Qipengyuania aquimaris"	"S"	255984	6	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Qipengyuania"
"Croceicoccus sp. Ery15"	"S"	1703338	10	NA	NA	NA	NA	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Croceicoccus>unclassified&nbsp;Croceicoccus"
"Brevundimonas subvibrioides"	"S"	74313	16	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Caulobacterales>Caulobacteraceae>Brevundimonas"
"Candidatus Kirkpatrickella diaphorinae"	"S"	2984322	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Candidatus&nbsp;Kirkpatrickella"
"Skermanella pratensis"	"S"	2233999	39	NA	NA	NA	NA	5	NA	NA	19	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	39	NA	NA	30	14	NA	NA	NA	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Azospirillaceae>Skermanella"
"Bacteroides sp. CACC 737"	"S"	2755405	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Petrimonas sp."	"S"	2023866	13	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	6	NA	NA	1	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Dysgonomonadaceae>Petrimonas>unclassified&nbsp;Petrimonas"
"uncultured Marinifilum sp."	"S"	1127472	5	NA	NA	NA	NA	5	NA	2	NA	NA	1	NA	4	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Marinilabiliales>Marinifilaceae>Marinifilum>environmental&nbsp;samples"
"Chryseobacterium sp. G0186"	"S"	2487064	8	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	8	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
