KO	C001_FD2_ORC.quant	C001_FD3_ORC.quant	C001_L-3_ORC.quant	C001_L-44_ORC.quant	C001_L-92_ORC.quant	C001_R+1_ORC.quant	C001_R+45_ORC.quant	C001_R+82_ORC.quant	C002_FD2_ORC.quant	C002_FD3_ORC.quant	C002_L-3_ORC.quant	C002_L-44_ORC.quant	C002_L-92_ORC.quant	C002_R+1_ORC.quant	C002_R+45_ORC.quant	C002_R+82_ORC.quant	C003_FD2_ORC.quant	C003_FD3_ORC.quant	C003_L-3_ORC.quant	C003_L-44_ORC.quant	C003_L-92_ORC.quant	C003_R+1_ORC.quant	C003_R+45_ORC.quant	C003_R+82_ORC.quant	C004_FD2_ORC.quant	C004_FD3_ORC.quant	C004_L-3_ORC.quant	C004_L-44_ORC.quant	C004_L-92_ORC.quant	C004_R+1_ORC.quant	C004_R+45_ORC.quant	C004_R+82_ORC.quant
K13609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13628	20.0	0.0	23.0	0.0	5.0	0.0	1.0	2.0	0.0	0.0	19.0	0.0	0.0	5.0	1.0	6.0	0.0	27.0	16.0	0.0	2.0	27.0	14.0	13.0	2.0	3.0	12.0	0.0	2.0	3.0	4.0	2.0
K13629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
