"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"14431","Staphylococcus saprophyticus",8.40850587906391,-0.296477683219818,0.630663974505966,-0.47010404146212,0.638280686892341,0.827467041552484,9,3,0,1,92,1,1,1,3,3,88,0,27,1,33,2,27,2,2,1,7,4,7,2,6,38,0,2,5,6,0,18,0,12,0,0,1,0,4,4,0,17,1,76,0,105,11,0,32,0,15,-0.089248675694129
"14434","Staphylococcus shinii",6.65163354404052,0.490723941523254,0.578019903697798,0.84897412421946,0.395895690815239,0.656265262490455,1,0,0,1,6,5,0,0,0,46,25,23,5,49,6,4,3,14,1,1,6,73,27,6,0,47,0,0,1,14,14,5,0,0,0,0,0,2,3,6,1,13,5,11,16,12,13,2,11,0,26,0.147722625988957
"14435","Staphylococcus simiae",11.7357542218425,1.17289462394885,0.568053574975747,2.06476057121713,0.0389456602516632,0.202443563773925,14,2,0,9,1,4,1,28,7,6,111,0,15,2,31,4,155,2,15,2,4,21,3,13,37,100,14,1,16,3,3,45,0,0,0,1,0,0,3,7,2,40,0,2,7,2,16,14,37,0,21,0.353076463561631
"14436","Staphylococcus simulans",5.82202029177039,0.598731207256095,0.303063472856853,1.97559673428179,0.0482004688161448,0.223132754940704,7,2,4,1,15,6,4,10,3,6,28,5,15,3,19,13,6,2,36,1,13,16,32,10,8,11,2,1,2,4,2,8,0,5,5,10,1,0,0,14,2,6,3,9,12,3,8,12,15,0,7,0.180236052724192
"14439","Staphylococcus sp. 17KM0847",4.6021646912455,2.6468548560963,0.898550766697712,2.94569316970685,0.00322231871520983,0.0553857080910456,0,1,2,2,3,0,9,1,3,8,91,0,1,0,0,9,204,2,3,0,5,4,1,0,1,42,0,0,17,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0.796782705853858
"14443","Staphylococcus sp. IVB6181",3.28057680007895,1.58023227931109,0.668695881313782,2.36315539465626,0.0181200699027895,0.139884671096182,2,0,31,9,0,1,0,1,2,5,46,3,13,0,2,1,9,1,4,0,0,3,1,4,2,4,0,0,2,0,1,4,0,0,0,0,0,0,0,2,0,20,1,2,9,4,2,1,3,0,1,0.475697316189099
"14458","Staphylococcus warneri",2.29104035578094,0.415616241892604,0.72405778375874,0.574009769959312,0.565961189974894,0.785668942589301,5,0,0,1,0,0,6,1,0,3,5,1,1,10,0,3,2,11,2,0,0,35,0,2,0,2,0,2,0,1,3,0,1,0,1,0,0,4,0,0,1,0,3,1,4,4,0,0,0,0,9,0.125112955494811
"14459","Staphylococcus xylosus",3.37043185560011,0.75762344908673,0.570794770211624,1.32731322819556,0.184405089817096,0.450778150677767,0,0,2,2,5,3,8,2,4,12,1,0,2,0,0,6,1,1,7,4,2,27,23,0,39,2,0,6,2,3,6,3,0,0,13,2,0,0,1,2,2,1,8,0,6,7,0,3,3,0,0,0.228067383593509
"14460","Staphylospora><wbr>Staphylospora marina",7.57193608757023,-1.25142246169372,0.366157187561364,-3.41771923153631,0.000631482135999385,0.0235368786604949,6,0,0,1,11,12,5,7,9,2,13,8,9,6,6,3,9,4,7,3,7,9,10,1,1,29,0,1,25,6,10,37,3,5,9,1,1,0,15,17,3,7,4,31,8,38,9,2,28,0,7,-0.37671569821747
"14464","Stappia indica",2.97040401624776,-0.153948385794653,0.584902829404184,-0.263203352856874,0.792393846685383,0.905042566728177,2,1,1,0,0,0,5,1,4,0,17,2,12,0,0,12,6,2,8,1,0,9,2,1,0,3,0,0,12,0,0,9,0,3,1,1,0,0,0,4,2,0,1,4,6,17,2,5,1,1,0,-0.0463430819082414
"14465","Stappiaceae",12.165617006415,-1.37807957559375,0.432562161379967,-3.18585326834269,0.00144327777102999,0.0363249451249537,6,2,0,1,12,5,3,6,19,2,27,7,15,4,1,11,23,1,14,14,22,19,23,14,0,31,0,0,109,4,19,7,3,2,18,6,0,3,1,15,39,34,10,14,25,24,191,4,32,0,14,-0.414843288665607
"14466","Starkeya><wbr>unclassified Starkeya><wbr>Starkeya sp. ORNL1",3.85236018684798,-0.279475227327451,0.581490542555016,-0.480618697768432,0.630787524014795,0.822541595549823,4,0,3,0,0,43,3,5,5,0,28,2,5,1,2,4,15,2,8,0,3,6,3,5,1,4,0,0,2,0,0,9,0,0,0,11,0,0,2,11,2,5,18,42,17,11,4,0,0,0,4,-0.0841304264705727
